Country,Total respondents,Percentage
India,8792,36.64
United States of America,2920,12.17
Other,1430,5.96
Brazil,833,3.47
Nigeria,731,3.05
Pakistan,620,2.58
Japan,556,2.32
China,453,1.89
Egypt,383,1.6
Mexico,380,1.58
Indonesia,376,1.57
Turkey,345,1.44
Russia,324,1.35
South Korea,317,1.32
France,262,1.09
